District,City,Latitude,Longitude,Elevation,Slope,Water_Occurrence_Percent,Population_Density
Sylhet,Baniachang,24.5,91.25,8.0,2.754061965,35.0,497.5796571
Sylhet,Chhatak,25.0,91.25,7.0,1.023264216,57.0,504.52834090000005
Sylhet,Maulavi Bazar,24.5,91.875,16.0,2.037668866,0.0,520.2101742
Sylhet,Sylhet,25.0,91.875,12.0,0.0,1.0,491.7526579
Tawang,Tawang,27.5,91.875,3696.0,35.20221739,0.0,477.5735799
Thoubal,Wangjing,24.5,94.375,316.0,13.74060401,0.0,376.9542486
Thoubal,Wangjing,24.5,95.0,186.0,4.79645843,0.0,371.3586956
Thoubal,Yairipok,25.0,94.375,896.0,29.92813998,0.0,358.1092767
Tibet Autonomous Region,Bianba,28.0,91.25,4890.0,30.85932806,0.0,495.4318183
Tibet Autonomous Region,Douyu,28.0,93.125,1484.0,15.4019647,0.0,392.1062653
Tibet Autonomous Region,Gala,28.0,89.375,4574.0,3.85000529,0.0,512.1431131
Tibet Autonomous Region,Xoixar,28.0,91.875,4980.0,8.34830072,0.0,462.4653679
Tibet Autonomous Region,Xoixar,28.0,92.5,5641.0,27.31138262,0.0,424.85456790000006
Tinsukia,Dum Duma,27.5,95.625,148.0,6.36190334,0.0,348.0507931
Tirap,Khonsa,26.0,96.25,1073.0,15.88890489,0.0,332.7262444
Tirap,Khonsa,26.5,95.625,508.0,25.27460043,0.0,297.176187
Tirap,Khonsa,26.5,96.25,240.0,5.545809412,0.0,323.8399696
Tirap,Khonsa,27.0,95.625,1976.0,18.03617646,0.0,302.9998845
Tongsa,Trongsa,27.5,90.625,3069.0,7.172834959000001,0.0,536.441065
Tuensang District,Tuensang,25.5,95.625,212.0,6.54464198,0.0,339.9408204
Tuensang District,Tuensang,26.0,95.0,1159.0,16.14846297,0.0,317.9300536
Tuensang District,Tuensang,26.0,95.625,243.0,21.36966497,0.0,319.9885263
Udalguri,Udalguri,27.0,91.875,1155.0,47.25759815,0.0,502.6156764
Wangdi Phodrang,Wangdue Phodrang,27.5,90.0,1629.0,25.94370205,0.0,522.1263104
West Garo Hills,Tura,25.5,90.625,263.0,7.668804433,0.0,571.8252398
West Kameng,Bomdila,27.5,92.5,2260.0,20.43461613,0.0,425.04286880000006
West Khasi Hills,Nongstoin,25.5,91.25,1294.0,11.03859333,0.0,522.8958402
West Siang,Along,28.0,95.0,778.0,9.143156283,0.0,291.5060115
West Siang,Basar,28.0,94.375,1673.0,32.25288219,0.0,303.5845235
West Tripura,Agartala,24.0,91.25,6.0,0.927409937,22.0,489.5787028
Zunheboto,Zunheboto,26.0,94.375,551.0,14.30773786,0.0,333.6709927
