Date,Latitude,Longitude,Humidity,Rainfall,Soil_Moisture,Flood_Occurred,Elevation,Slope,Water_Occurrence_Percent,Max_Temp,Population,Population_Density,Sex_Ratio
2000-02-02 00:00:00,27.5,89.375,90.69,0,0.65,0,3572,14.07258076,0,28.19,1152630.309,521.487739,899.6121491
2000-02-03 00:00:00,24,91.875,70.74,0,0.43,0,105,5.388686904,0,26.4,1062209.19,493.6408864,864.2038308
2000-02-03 00:00:00,24.5,90.625,68.9,0,0.42,0,14,1.377826843,0,24.96,1145969.809,516.3333924,865.7935515
2000-02-04 00:00:00,27.5,93.75,80.1,0,0.69,0,1170,5.644002829,0,33.46,1071672.728,378.8323744,874.7555022
2000-02-05 00:00:00,26.5,96.25,46.72,0,0.37,0,240,5.545809412,0,31.34,1019675.236,323.8399696,788.1767758
2000-02-05 00:00:00,26,93.125,67.96,0,0.56,0,116,4.965499387,0,30.29,1072622.568,150.1708507,928.7088907
2000-02-07 00:00:00,26,90.625,80.68,0,0.71,0,58,3.228316007,0,33.21,1011267.679,554.1086509,963.327597
2000-02-08 00:00:00,28,92.5,81.73,0,0.7,0,5641,27.31138262,0,29.16,1168725.607,424.8545679,839.5896161
2000-02-08 00:00:00,27.5,94.375,71.32,0,0.59,0,103,0.927409937,0,26.76,874235.9715,300.613515,856.7858962
2000-02-10 00:00:00,26,93.75,54.53,0,0.58,0,159,2.121724521,0,31.89,1132101.997,322.5579957,863.0176521
2000-02-10 00:00:00,28,90,54.35,0,0.66,0,3996,30.30639478,0,29.34,1133995.316,513.0941557,886.4215478
2000-02-11 00:00:00,24,95,34.98,0,0.21,0,347,5.530985127,0,31.27,1066896.571,383.8326429,798.3023043
2000-02-11 00:00:00,26,93.125,51.65,0,0.55,0,116,4.965499387,0,31.12,1072622.568,150.1708507,928.7088907
2000-02-11 00:00:00,28,91.875,76.06,0,0.6,0,4980,8.34830072,0,31.1,1140527.213,462.4653679,846.0336664
2000-02-13 00:00:00,25.5,92.5,74.92,0,0.71,0,1059,15.38648349,0,32.07,947206.029,335.20683,642.6892627
2000-02-15 00:00:00,25,94.375,40.41,0,0.41,0,896,29.92813998,0,31.3,1059131.652,358.1092767,780.8804119
2000-02-18 00:00:00,24.5,91.875,45.89,0,0.44,0,16,2.037668866,0,28.11,1087477.003,520.2101742,873.6419951
2000-02-18 00:00:00,25,94.375,40.12,0,0.4,0,896,29.92813998,0,28.13,1059131.652,358.1092767,780.8804119
2000-02-19 00:00:00,27,89.375,39.52,0,0.6,0,2095,5.881075529,0,32.2,1173520.393,529.720802,913.6945674
2000-02-20 00:00:00,26.5,91.25,56.25,0,0.57,0,46,1.390525377,0,29.7,1024622.034,680.295446,933.0248972
2000-02-20 00:00:00,28,90,61.2,0,0.65,0,3996,30.30639478,0,30.03,1133995.316,513.0941557,886.4215478
2000-02-21 00:00:00,26.5,91.875,52.67,0,0.59,0,64,0.927409937,0,30.61,946904.7124,513.2306579,843.346228
2000-02-22 00:00:00,26.5,92.5,53.85,0,0.51,0,66,4.740998679,0,32,1187897.395,367.8456011,705.0412412
2000-02-23 00:00:00,27,91.25,49.72,0,0.64,0,1597,8.352400023,0,30.63,1108121.476,580.8608837,894.2881302
2000-02-23 00:00:00,26,93.75,41.1,0,0.55,0,159,2.121724521,0,31.52,1132101.997,322.5579957,863.0176521
2000-02-24 00:00:00,26.5,94.375,45.21,0,0.57,0,310,22.96585829,0,30,1032309.139,348.1394654,874.5515875
2000-02-25 00:00:00,27,94.375,46.08,0,0.54,0,85,3.119755432,47,28.77,979381.6012,353.292211,859.3264064
2000-02-28 00:00:00,24.5,92.5,41.87,0,0.43,0,67,5.082944257,0,25.69,785698.0512,515.6490579,941.8470812
2000-12-16 00:00:00,27.5,93.125,63.45,0,0.74,0,1588,25.37942309,0,31.19,1241724.695,391.5303612,852.6674813
2000-12-30 00:00:00,26,90.625,81.1,0,0.71,0,58,3.228316007,0,31.17,1011267.679,554.1086509,963.327597
2001-01-04 00:00:00,27,89.375,63.6,0,0.59,0,2095,5.881075529,0,31.21,1173520.393,529.720802,913.6945674
2001-01-04 00:00:00,26.5,89.375,54.92,0,0.41,0,61,0.927409937,0,30.95,1255729.851,566.0276214,923.9723676
2001-01-04 00:00:00,27.5,92.5,81.53,0,0.72,0,2260,20.43461613,0,30.73,1228767.339,425.0428688,838.8990479
2001-01-06 00:00:00,26.5,89.375,55.65,0,0.41,0,61,0.927409937,0,30.03,1255729.851,566.0276214,923.9723676
2001-01-06 00:00:00,25,89.375,59.44,0,0.52,0,22,1.023264216,0,30.82,1240729.88,566.5422741,895.1827371
2001-01-06 00:00:00,25,90,61.98,0,0.49,0,18,0.927409937,0,29.48,1228290.297,568.9474725,896.1437977
2001-01-06 00:00:00,28,89.375,44.07,0,0.62,0,4574,3.85000529,0,33.52,1145023.13,512.1431131,886.8185216
2001-01-08 00:00:00,26,92.5,74.88,0,0.7,0,145,17.11287737,0,25.72,1032490.034,319.8429983,616.881716
2001-01-11 00:00:00,26.5,94.375,74.19,0,0.64,0,310,22.96585829,0,30.77,1032309.139,348.1394654,874.5515875
2001-01-11 00:00:00,27.5,93.125,81.24,0,0.71,0,1588,25.37942309,0,31.31,1241724.695,391.5303612,852.6674813
2001-01-11 00:00:00,27.5,91.25,75.81,0,0.61,0,2836,15.35537511,0,31.7,1118193.622,525.2575077,872.8913382
2001-01-11 00:00:00,24.5,93.125,60.46,0,0.43,0,495,33.85492634,0,27.76,1184380.079,438.6855122,850.1786214
2001-01-18 00:00:00,26,91.875,69.16,0,0.74,0,335,11.18729467,0,28.85,1034089.844,417.3090319,734.1350662
2001-01-18 00:00:00,24.5,91.875,65.67,0,0.55,0,16,2.037668866,0,27.77,1087477.003,520.2101742,873.6419951
2001-01-18 00:00:00,26.5,95.625,38.61,0,0.52,0,508,25.27460043,0,28.66,939225.6032,297.176187,734.7904717
2001-01-19 00:00:00,28,90,54.2,0,0.65,0,3996,30.30639478,0,27.14,1133995.316,513.0941557,886.4215478
2001-01-20 00:00:00,24.5,96.25,20.99,0,0.16,0,247,5.537518734,0,28.85,1052833.758,367.2718403,797.9093142
2001-01-20 00:00:00,25,92.5,59.65,0,0.67,0,26,4.189767125,0,29.8,1128575.913,480.2789569,826.3867918
2001-01-20 00:00:00,26,91.875,69.94,0,0.73,0,335,11.18729467,0,28.58,1034089.844,417.3090319,734.1350662
2001-01-22 00:00:00,26.5,96.25,34.78,0,0.27,0,240,5.545809412,0,25.73,1019675.236,323.8399696,788.1767758
2001-01-22 00:00:00,26,92.5,69.73,0,0.67,0,145,17.11287737,0,27.5,1032490.034,319.8429983,616.881716
2001-01-23 00:00:00,24,96.25,22.81,0,0.17,0,162,3.704791834,0,26.88,1060931.894,376.4817094,801.4518473
2001-01-23 00:00:00,26.5,94.375,65.98,0,0.62,0,310,22.96585829,0,25.49,1032309.139,348.1394654,874.5515875
2001-01-24 00:00:00,26,90.625,61.95,0,0.67,0,58,3.228316007,0,26.62,1011267.679,554.1086509,963.327597
2001-01-25 00:00:00,26,95,65.16,0,0.51,0,1159,16.14846297,0,26.99,971991.6141,317.9300536,763.2019529
2001-01-25 00:00:00,25,91.875,45.45,0,0.67,0,12,0,1,27.36,1096733.448,491.7526579,834.8765302
2001-01-26 00:00:00,26,91.875,70.95,0,0.72,0,335,11.18729467,0,27.48,1034089.844,417.3090319,734.1350662
2001-01-28 00:00:00,24.5,93.75,38.35,0,0.3,0,778,1.854334169,0,25.67,1075435.087,388.9438608,781.1472208
2001-01-29 00:00:00,25.5,92.5,72.44,0,0.73,0,1059,15.38648349,0,24.62,947206.029,335.20683,642.6892627
2001-01-29 00:00:00,27.5,91.25,56.74,0,0.59,0,2836,15.35537511,0,23.57,1118193.622,525.2575077,872.8913382
2001-01-29 00:00:00,25,90.625,47.54,0,0.45,0,14,2.245937914,9,25.9,1165889.399,541.023175,882.2977841
2001-01-30 00:00:00,28,89.375,45.51,0,0.58,0,4574,3.85000529,0,19.94,1145023.13,512.1431131,886.8185216
2001-01-31 00:00:00,27,89.375,43.11,0,0.55,0,2095,5.881075529,0,21.97,1173520.393,529.720802,913.6945674
